,acousticness,dance,duration,energy,instrumentalness,key,liveness,loudness,mode,playlist,song,speech,tempo,time,valence
172,0.0023,0.978,254467,0.787,4.6e-06,2,0.102,-2.79,1,45UoCqtVh2BR1HteUkmRje,3XVozq1aeqsJwpXrEZrDJ9,0.0394,116.006,4,0.597
173,0.977,0.369,221050,0.3,0.00416,8,0.107,-5.359,1,45UoCqtVh2BR1HteUkmRje,3XyU03WycJQ02kExHb9dqW,0.0298,148.622,3,0.216
174,0.686,0.586,251455,0.439,2.78e-05,0,0.103,-9.096,1,45UoCqtVh2BR1HteUkmRje,3YNMHA6FqeqWzZyw0JVyIi,0.0296,120.032,4,0.428
175,0.644,0.604,227304,0.37,0.0,11,0.436,-7.729,1,45UoCqtVh2BR1HteUkmRje,3ZGVuAmsvQMpACekWo0jLE,0.0315,114.82,3,0.288
176,0.0118,0.513,210580,0.768,1.94e-05,4,0.294,-4.868,0,45UoCqtVh2BR1HteUkmRje,3cNjgVBKTJ1SvKhunrCdVy,0.0587,84.264,4,0.235
177,0.865,0.349,257760,0.327,0.0,4,0.148,-8.441,1,45UoCqtVh2BR1HteUkmRje,3dPqT7eqD97dsN6kFUixk0,0.0292,149.825,4,0.339
178,0.254,0.583,219493,0.584,0.0,5,0.123,-5.362,0,45UoCqtVh2BR1HteUkmRje,3f3omU8n47Mqyab5nCaGyT,0.0314,140.039,4,0.136
179,0.573,0.668,242000,0.361,0.00506,1,0.0805,-8.69,0,45UoCqtVh2BR1HteUkmRje,3f8Uygfz3CIpUCo6H6iNOJ,0.0273,134.15,5,0.288
180,0.855,0.655,231061,0.461,0.000337,2,0.0877,-9.693,1,45UoCqtVh2BR1HteUkmRje,3fkfiYZdDNi6PAWFaTxlGn,0.0275,95.056,4,0.695
181,0.741,0.54,218507,0.285,0.0,3,0.152,-10.053,1,45UoCqtVh2BR1HteUkmRje,3gBFAvpAVSNohs3ESRMYHi,0.0475,87.789,4,0.434
182,0.767,0.524,255467,0.527,0.00012,10,0.128,-8.897,1,45UoCqtVh2BR1HteUkmRje,3gKJ43RQY6niVmpbe9hh4D,0.0299,143.95,4,0.318
183,0.248,0.697,229413,0.467,0.0,9,0.0941,-7.536,1,45UoCqtVh2BR1HteUkmRje,3goSVuTt3fDYDP6kRnFwuL,0.0715,82.081,4,0.572
184,0.777,0.46,241520,0.461,0.00122,10,0.107,-5.074,1,45UoCqtVh2BR1HteUkmRje,3htM416yremamnna2RgSE2,0.0291,79.812,4,0.451
185,0.344,0.606,247000,0.459,0.000106,3,0.0456,-6.463,1,45UoCqtVh2BR1HteUkmRje,3mx6RlVZYpbsd8dG5LRxbM,0.0327,120.031,4,0.321
186,0.0435,0.743,224773,0.807,0.0,1,0.309,-3.78,1,45UoCqtVh2BR1HteUkmRje,3tCwjWLicbjsMCvXhN0WOE,0.0364,144.062,4,0.899
187,0.858,0.616,172147,0.265,2.14e-05,1,0.0809,-13.824,1,45UoCqtVh2BR1HteUkmRje,3yEmHh3T377wlTwKIAI2Cg,0.0274,101.86,4,0.194
188,0.12,0.862,238267,0.663,0.0,0,0.318,-9.004,1,45UoCqtVh2BR1HteUkmRje,3yNVfRQlUPViUh8O2V9SQn,0.21,85.308,4,0.837
189,0.37,0.519,257927,0.634,0.0,4,0.302,-6.61,1,45UoCqtVh2BR1HteUkmRje,408TyH9YoTkH9J0Da9Ue8C,0.0398,159.869,4,0.273
190,0.302,0.447,177523,0.602,0.00233,0,0.107,-8.996,1,45UoCqtVh2BR1HteUkmRje,44jVYj3TXig7Cf1vkgulnQ,0.219,165.041,4,0.35
191,0.261,0.706,202120,0.247,0.0,5,0.103,-17.961,1,45UoCqtVh2BR1HteUkmRje,48gsLPdOUEDjr7P8Wvykne,0.0311,127.812,4,0.424
192,0.953,0.572,230711,0.231,3.88e-06,0,0.111,-6.316,0,45UoCqtVh2BR1HteUkmRje,48wSJ6NhMFYYB6LjdnPNjM,0.0334,96.729,3,0.332
193,0.506,0.752,232967,0.426,3.3e-05,6,0.0991,-8.705,1,45UoCqtVh2BR1HteUkmRje,4ARkpfcxhNNo5g235qn3ii,0.0346,134.054,4,0.355
194,0.00132,0.736,216733,0.811,0.000142,9,0.107,-4.17,0,45UoCqtVh2BR1HteUkmRje,4BggEwLhGfrbrl7JBhC8EC,0.081,103.502,4,0.609
195,0.177,0.511,339307,0.658,0.0,0,0.126,-6.864,1,45UoCqtVh2BR1HteUkmRje,4DSOQ3kfCw70iWDswduLGN,0.0368,152.033,4,0.433
196,0.82,0.416,299160,0.226,0.000272,7,0.143,-10.934,1,45UoCqtVh2BR1HteUkmRje,4DX8Ejmm8dMRklWeSnOckn,0.0338,138.852,4,0.178
197,0.81,0.575,212899,0.184,0.0,3,0.125,-12.719,0,45UoCqtVh2BR1HteUkmRje,4DaXQf9BzocaTrlSSjfaMN,0.0388,126.025,4,0.147
198,0.0208,0.583,258827,0.786,0.0,2,0.188,-3.142,0,45UoCqtVh2BR1HteUkmRje,4E6cwWJWZw2zWf7VFbH7wf,0.0301,123.052,4,0.573
